isoform,compound,abs_delta_delta_G,overlap_1.5A,overlap_2.0A,overlap_2.5A,overlap_3.0A,range
PI3Kα,CPD_0636,1.95,0.364,0.455,0.455,0.455,0.091
PI3Kα,CPD_0015,1.60,1.000,1.000,1.000,1.000,0.000
PI3Kα,CPD_0432,1.53,0.091,0.273,0.364,0.545,0.454
PI3Kβ,CPD_0332,0.64,0.000,0.083,0.417,0.417,0.417
PI3Kβ,CPD_0045,0.55,0.000,0.111,0.222,0.444,0.444
PI3Kβ,CPD_0307,0.40,0.071,0.214,0.214,0.214,0.143
PI3Kδ,CPD_0576,0.69,0.000,0.182,0.364,0.455,0.455
PI3Kδ,CPD_0078,0.56,0.000,0.000,0.000,0.200,0.200
PI3Kδ,CPD_0299,0.44,0.077,0.154,0.231,0.231,0.154
PI3Kγ,CPD_0173,0.53,0.154,0.154,0.308,0.385,0.231
PI3Kγ,CPD_0359,0.41,0.154,0.308,0.385,0.538,0.384
PI3Kγ,CPD_0239,0.41,0.077,0.154,0.154,0.154,0.077
